Job Title,Company Name,Salary,Location,Job Description
Software Engineer,Moody's,Competitive,London,"* Minster Building, 21 Mincing Lane, 2nd Floor, London, EC3R 7AG, GB Line Of Business: Know Your Customer OU(KYC OU) * Engineering & Technology Experience Level: Experienced Hire At Moody's, we unite the brightest minds to turn todays risks into tomorrows opportunities. We do this by striving to create an inclusive environment where everyone feels welcome to be who they are-with the freedom to exchange ideas, think innovatively, and listen to each other and customers in meaningful ways. If you are excited about this opportunity but do not meet every single requirement, please apply! You still may be a great fit for this role or other open roles. We are seeking candidates who model our values: invest in every relationship, lead with curiosity, champion diverse perspectives, turn inputs into actions, and uphold trust through integrity."
Software Engineer - JDK,Apple,Competitive,London,"Summary Posted: Jul 22, 2024 Role Number:200559947We are looking for an experienced and motivated Software Engineer to join the Apple Services Engineering team! We build and seamlessly integrate technologies that enrich peoples lives. You will join a diverse team of people who are passionate about developing new technologies and services for our customers. You will be collaborating with many different teams within Apple to further improve the quality of our productsThe AppleJDK team has a number of responsibilities, including consulting, build engineering, and core development."
Software Engineer - Data Centre Tools - Apple Private Cloud,Apple,Competitive,London,"Summary Posted: Aug 20, 2024 Role Number:200558325We are looking for an experienced and motivated Software Engineer to join the Apple Services Engineering team! We build and seamlessly integrate technologies that enrich peoples lives. You will join a diverse team of people who are passionate about developing new technologies and services for our customers. You will be collaborating with many different teams within Apple to further improve the quality of our products. In this role you will be responsible for helping build and run tools for Apples Private Cloud Compute. This includes architecting solutions, partnering with application teams, and building automation and monitoring tools. Description You will work cross-functionally to capture requirements, build infrastructure and tooling to support application needs."
"Software Engineer - Apple Cloud, London",Apple,Competitive,London,"Summary Posted: Sep 12, 2024 Role Number:200567078The Apple Database Technology Group is looking for a Software Engineer with a passion for developing world class, highly scalable, and resilient database systems with a particular focus towards ensuring quality, performance, and correctness. Particular areas of focus involve transaction and concurrency management, query language, planning and optimisation as well the design and development of custom storage, indexing, and search structures. We are a group of focused engineers that don multiples hats: coder, hacker, debugger, and most importantly, customer advocate. We are seeking someone who is passionate about working in an exciting environment with evolving priorities. Your background should be a good blend of design and hands-on development of software at scale."
Software Engineer - OS and System Services,Apple,Competitive,London,"Summary Posted: Aug 29, 2024 Role Number:200558328The Apple Cloud Engineering team is looking for an outstanding software engineer to build and integrate software to orchestrate workloads across highly performant and energy efficient systems that will power the next generation of data centers. In this highly collaborative role, you will be at the center of multiple efforts to use/ hardware acceleration for machine learning and high performance computing workloads. You will be part of a team that builds and maintains system software such as kernel drivers, runtime libraries, frameworks, and daemons that will power the next generations of data centers. You will partner with teams across Apple to adapt, tailor, and scale software on a novel compute platform and will help to build the foundation of our future cloud architecture."
Software Engineer - Data Analysis,Apple,Competitive,London,"Summary Posted: Aug 5, 2024 Role Number:200558842We are looking for an experienced and motivated Software Engineer to join the Apple Services Engineering team! We build and seamlessly integrate technologies that enrich peoples lives. You will join a diverse team of people who are passionate about developing new technologies and services for our customers. You will be collaborating with many different teams within Apple to further improve the quality of our products. The Infrastructure Tools SLO team focuses on SLO reporting for teams across Apple. We support a wide variety of organisations and we are currently in the processes of building a highly scalable ETL system and migrating our legacy tools over to this new system. Plenty challenges await us due to the unique nature of working with our telemetry data and we are seeking a talented Java engineer to help us."
"Software Engineer, Apple Cloud, London",Apple,Competitive,London,"Summary Posted: Sep 9, 2024 Role Number:200566019The Apple Cloud organisation is building the next generation of tools empowering Apples software developers to ship products our customers love. We're a small, empathetic, user-focused team crafting and building a continuous integration and delivery system that Apples developers utilise to build, test and deploy their code. Our goal is for Apple-internal developers to have a happier, easier time developing because of us, so that Apple's end-users have a better experience, and we're looking to hire people who are excited to make that a reality. We try to understand the underlying user needs common across different teams, and provide optimised shared solutions so that individual developers can focus on their own priorities. Description"
"SWE - Software Engineer, CoreOS Kernel",Apple,Competitive,London,"Summary Posted: Jul 9, 2024 Role Number:200523081Are you a big-picture thinker who loves setting ambitious goals? Do you have a passion for understanding how each line of code affects all the others? In the Core Operating Systems group, youll ensure the OS is inseparable from each devices identity as a whole. Thats because this group is committed to building fully integrated operating systems that combine hardware, software, and apps into a single Apple experience. Your dedication to cross-disciplinary collaboration will help develop groundbreaking technologies, such as iOS, macOS, watchOS, and tvOS. By crafting these distinct, holistic user experiences, youll continue to uphold and advance the excellence people expect from Apple devices."
Software Engineer - DV Cleared,Stott & May Professional Search Limited,Up to £0.00 per day,London,"On-site London Job Description: We are seeking a skilled Software Engineer to join our dynamic team. This role involves daily interaction with customers, requiring excellent communication and problem-solving skills. The ideal candidate will be capable of working independently and collaboratively within an Agile development environment. Engage with customers daily to understand their needs and provide technical support. Develop, maintain, and optimize software solutions using AWS (Kubernetes), Apache NiFi, Linux, and Java. Automate processes and manage configurations using Ansible. Integrate and manage ActiveDirectory services. Utilize the Atlassian stack for project management and collaboration. Contribute to Agile development practices, including sprint planning, stand-ups, and retrospectives. Proficiency in AWS, Apache NiFi, Linux, and Java."
Software Engineer,WOODFORD GRAY GROUP LTD,"£60,000 per annum Pension, Healthcare, Flexible working 33 days holida","Bloomsbury, WC1N 3AX","Woodford Gray are looking for an experiencedSoftware Engineer will be part of the Application Development team responsible for a diverse range of projects across the organisation. You will need to haveVery strong and proven experience in development, implementation and maintenance of database management systems across multiple platforms. Key Skills:- MS .Net Framework 2.0 C#, VB, WinForms, ASP.NET, Windows Services, and MVC Expert in MS SQL and surrounding technologies (2012. 2014, 2016 etc) You will be working with IT Business Analysts, to build Applications across the business. Reporting into the Head of Application Development. £50-60k Plus Benefits (fully Remote)"
